PROFILE_ID,MONTH_BALANCE,BEGINNING_TOTAL_HOLDINGS_GBP,END_TOTAL_HOLDINGS_GBP,BEGINNING_EQUITY_GBP,END_EQUITY_GBP,BEGINNING_INTEREST_GBP,END_INTEREST_GBP
37416056,2023-04-01,0,0,,,,
38894645,2023-05-01,8.39,60.99,,,,
35710681,2023-05-01,1.15,21.15,,,,
39261107,2023-06-01,0,0,,,,
39584827,2023-06-01,6.11,10.33,,,,
36508478,2023-04-01,19.6,19.41,,,,
38213782,2023-06-01,222.73,62.5,,,,
37072730,2023-04-01,0,0,,,,
40778034,2023-06-01,,21.73,,,,
40047588,2023-06-01,0,0,,,,
37680871,2023-04-01,20.22,12.91,,,,
39522237,2023-05-01,,112.18,,,,
38831465,2023-04-01,,3.48,,,,
36351847,2023-05-01,0,1239.38,,,,
37165205,2023-05-01,1.67,1.67,,,,
36827219,2023-04-01,0,0,,,,
38737699,2023-06-01,0,0,,,,
36599804,2023-04-01,2185.5,6265.94,,,,
37398325,2023-05-01,0,1.58,,,,
40176156,2023-05-01,,17.5,,,,
39101368,2023-04-01,,1.25,,,,
36822731,2023-02-01,,300,,,,
36682615,2023-04-01,5.62,0,,,,
38213782,2023-04-01,20,89.39,,,,
38690772,2023-05-01,0,85.93,,,,
39486563,2023-05-01,,8.88,,,,
38223406,2023-04-01,0,0,,,,
35551338,2023-03-01,530.2,524.5,530.2,424.57,,
35423888,2023-04-01,11.23,0.95,9.67,0.35,,
35458069,2023-03-01,22.42,7.24,,,,
39208112,2023-06-01,0,0,,,,
37677094,2023-06-01,26433.73,29990.07,,,,
35479764,2023-04-01,13,13,,,,
36508478,2023-06-01,19.13,18.32,,,,
35633155,2023-05-01,1116.11,4.24,,,,
36472352,2023-03-01,0,0,,,,
37208552,2023-03-01,,1070,,,,
37615621,2023-05-01,0,0,,,,
40182929,2023-06-01,57.86,29.93,,,,
35287943,2023-06-01,0,0,,,,
37060325,2023-04-01,,564.82,,,,
36179643,2023-05-01,40,40,,,,
35521685,2023-03-01,527.49,65.89,,,,
40216916,2023-06-01,595.2,914.96,,,,
37958117,2023-06-01,24.53,6.43,,,,
36387906,2023-06-01,96.65,81.1,,,,
39395769,2023-06-01,0,0,,,,
35674808,2023-06-01,0,0,,,,
36151682,2023-01-01,,13,,,,
35767222,2023-01-01,,13,,,,
38586472,2023-04-01,,0,,,,
36328702,2023-06-01,0.37,0.37,,,,
35923589,2023-06-01,19.92,21.42,,,,
37941476,2023-06-01,526.45,400.75,,,,
37877677,2023-06-01,530.59,3838.64,,,,
35896716,2023-06-01,28.59,28.62,,,,
35768623,2023-06-01,0,0,,,,
39855759,2023-06-01,7.64,5.84,,,,
40197480,2023-06-01,868.1,3.35,,,,
38431498,2023-06-01,20,20,,,,
35461093,2023-01-01,,10,,,,
38294729,2023-05-01,,60,,,,
37473522,2023-06-01,20,20,,,,
40607331,2023-06-01,,100,,,,
36053564,2023-06-01,-2.81,-2.81,,,,
36412388,2023-06-01,675.8,1232.38,,,,
35687894,2023-03-01,40,0,,,,
36723992,2023-02-01,,0,,,,
35710681,2023-02-01,56.42,0.13,,,,
41098490,2023-06-01,,0,,,,
38082603,2023-03-01,,20,,,,
35259343,2023-04-01,-1.75,-1.75,,,,
36719867,2023-02-01,,0,,,,
36670106,2023-02-01,,0,,,,
35758707,2023-05-01,204.27,10.74,,,,
36223744,2023-06-01,75,75,,,,
36581070,2023-02-01,,0,,,,
35480677,2023-05-01,0,0,,,,
35712445,2023-05-01,19.07,126.07,,,,
35779243,2023-03-01,3894.87,5937.89,,,,
38901917,2023-04-01,,48.98,,,,
37545654,2023-05-01,0.08,0,,,,
36518081,2023-04-01,14.06,0,,,,
35560560,2023-06-01,0,0,,,,
35970946,2023-06-01,154.25,154.25,,,,
36445866,2023-02-01,,100,,,,
36670720,2023-03-01,20,583.96,,,,
37588796,2023-06-01,0.7,0.7,,,,
36606143,2023-06-01,0,0,,,,
38632550,2023-05-01,19,19,,,,
37232148,2023-06-01,0,0,,,,
35773770,2023-05-01,611,545.2,,,,
36414209,2023-03-01,30,1030,,,,
38464237,2023-05-01,20,0,,,,
39003631,2023-04-01,,40.05,,,,
